WA	Eagle Bulk Shipping CEO Sophocles Zoullas resigns	EAGLE BULK SHIPPING	Company	neutral	1	0.0	0.33	Fri May 01 12:45:19 +0000 2015	0
TX	RT @ForbesTech: A look at the costs of Tesla's Powerwall to see if it's truly a game-changing innovation: http://t.co/tEjAU71sqG http://t.c…	TESLA	Company	positive	1	0.73967	0.33	Sat May 02 03:14:14 +0000 2015	0
VA	@drvox, Yeah, no problem, you'd said something about delivering a Tesla to my door next week...	TESLA	Company	positive	1	0.207863	0.33	Sat May 02 03:15:00 +0000 2015	0
NY	RT @BKFUniversity: Just because every night you have enough to get in that BMW and buy value meals for your family from Jack in the crack .…	BMW	Company	positive	1	0.658055	0.33	Fri May 01 15:41:11 +0000 2015	0
NY	RT @BKFUniversity: Just because you signed up for a brand new 72 month car loan on a used BMW does not mean you aren't poor.	BMW	Company	neutral	1	0.0	0.33	Fri May 01 15:41:20 +0000 2015	0
NY	Electric disruption in progress! Tesla Energy is Elon Musk's #battery system that can power homes and more! CC @edf http://t.co/o93mmlo2pi	TESLA ENERGY	Company	positive	2	0.719195	0.884554	Fri May 01 15:41:26 +0000 2015	0
NY	Elon Musk announces Tesla Energy - Brilliant!  http://t.co/yNtrcL9Y6d via @verge	TESLA ENERGY	Company	positive	1	0.677828	0.33	Fri May 01 15:41:38 +0000 2015	0
NY	@LethalLadyLotus I've been near that temper...it's not as intimidating as you'd think. Or my danger sense is broken. But Lotus, he'd never ~	LOTUS	Company	neutral	1	0.0	0.86509	Thu Apr 30 08:03:13 +0000 2015	0
FL	BMW 3D Prints Water Pump Wheels for the German Touring Car Masters (DTM) Race Cars - http://t.co/P6IMOlcrk9 http://t.co/jvGIIpZdLt	BMW	Company	neutral	1	0.0	0.33	Thu Apr 30 08:05:17 +0000 2015	0
FL	BMW 3D Prints Water Pump Wheels for the German Touring Car Masters (DTM) Race Cars - http://t.co/HByl7IAwxB http://t.co/oCkdhkKzZc	BMW	Company	neutral	1	0.0	0.33	Thu Apr 30 08:05:17 +0000 2015	0
NY	GMC : Other Like 57 58 60 Similar Chevy 3100 Deluxe Chevrolet 59 gmc rare pick up truck st… http://t.co/hTWGV2B9EP http://t.co/rKxhwACZYk	GMC	Company	neutral	1	0.0	0.33	Sat May 02 05:40:32 +0000 2015	0
NY	GMC : Other Like 57 58 60 Similar Chevy 3100 Deluxe Chevrolet 59 gmc rare pick up truck st… http://t.co/A8ulIq0wDP http://t.co/pYX5H8JPQv	GMC	Company	neutral	1	0.0	0.33	Sat May 02 05:40:34 +0000 2015	0
NY	GMC : Other Like 57 58 60 Similar Chevy 3100 Deluxe Chevrolet 59 gmc rare pick up truck st… http://t.co/TMQHsMUao7 http://t.co/RfJQcSDB6e	GMC	Company	neutral	1	0.0	0.33	Sat May 02 05:40:36 +0000 2015	0
NY	GMC : Other Like 57 58 60 Similar Chevy 3100 Deluxe Chevrolet 59 gmc rare pick up truck st… http://t.co/ZNVFfrR1yD http://t.co/yf9WDAUo8f	GMC	Company	neutral	1	0.0	0.33	Sat May 02 05:40:38 +0000 2015	0
NY	GMC : Other Like 57 58 60 Similar Chevy 3100 Deluxe Chevrolet 59 gmc rare pick up truck st… http://t.co/CFhGdiMYq5 http://t.co/T0buYZuMOc	GMC	Company	neutral	1	0.0	0.33	Sat May 02 05:40:40 +0000 2015	0
NY	GMC : Other Like 57 58 60 Similar Chevy 3100 Deluxe Chevrolet 59 gmc rare pick up truck st… http://t.co/8KdGoehKFH http://t.co/ImrxUOPDrw	GMC	Company	neutral	1	0.0	0.33	Sat May 02 05:40:42 +0000 2015	0
NY	GMC : Other Like 57 58 60 Similar Chevy 3100 Deluxe Chevrolet 59 gmc rare pick up truck st… http://t.co/i9zyo8avPu http://t.co/i4wQ3Qh4mj	GMC	Company	neutral	1	0.0	0.33	Sat May 02 05:40:44 +0000 2015	0
TN	RT @TheEllenShow: The world needs more teachers like Sonya Romero. I’m glad my friends at @Ford agreed. #LaughDancePartner http://t.co/VPId…	FORD	Company	positive	1	0.850657	0.156643	Wed Apr 29 22:26:34 +0000 2015	0
CT	Earnings Review: Honda Profits Fall On High Quality Costs And Negative Impact Of FX Fluctuations: Honda Motors announced its earnings...	HONDA MOTORS	Company	neutral	1	0.0	0.33	Wed Apr 29 17:50:59 +0000 2015	0
CT	Earnings Review: Honda Profits Fall On High Quality Costs And Negative Impact Of FX Fluctuations: Honda Motors announced its earnings...	HONDA	Company	negative	1	-0.360744	0.33	Wed Apr 29 17:50:59 +0000 2015	0
UT	Toyota plans $4.2B share sale to fund fuel cell r http://t.co/PKZ3AOQutB #technlogy	TOYOTA	Company	positive	1	0.484696	0.33	Wed Apr 29 17:51:08 +0000 2015	0
IN	ESPN Jeff Gordon to Drive Pace Car in Indianapolis 500 ABC News Chevrolet made the announcement… http://t.co/ZvcDy1Is8n	CHEVROLET	Company	neutral	1	0.0	0.33	Wed Apr 29 17:51:27 +0000 2015	0
CA	RT @sadowski23: Btw, the license plate of the white bmw carrying the 2 disgusting teenage girls is CA 7JWL217. Please retweet.	BMW	Company	negative	1	-0.359521	0.899812	Wed Apr 29 17:51:30 +0000 2015	0
IN	So happy IMS isn't making Jeff drive the Trax or the "take on the road with style 2016 Chevrolet Spark"	CHEVROLET	Automobile	neutral	1	0.0	0.33	Wed Apr 29 17:51:37 +0000 2015	0
MI	RT @AutoCherish: Buy &amp; Cherish this 1956 Mercury Montclair Convertible http://t.co/RveHsfKteW via @autocherish http://t.co/YG9ccaT0a8	MERCURY MONTCLAIR	Automobile	positive	1	0.427133	0.33	Wed Apr 29 17:52:14 +0000 2015	0
CA	Some dumb bitch almost hit me with her Audi while I was crossing the cross walk and now she's cutting people off in this small ass campus	AUDI	Company	negative	1	-0.804531	0.33	Wed Apr 29 17:52:39 +0000 2015	0
CO	Pictures coming soon for this 2005 CHEVROLET W4500 for sale! Standard Cab; Diesel Fuel Type; Automatic; Spring... http://t.co/xuPWd4q65e	CHEVROLET	Company	neutral	1	0.0	0.858192	Wed Apr 29 17:52:57 +0000 2015	0
FL	Most universities also invest in private prisons like GEO Group through an investment company.  Ask @DDODUCF... #slaveholders	GEO GROUP	Company	positive	1	0.224898	0.913615	Wed Apr 29 17:53:11 +0000 2015	0
NY	Latest buzz for Arlene's Grocery: http://t.co/XU3x4jisOG - RT @SmashStudios Catch the Rock/Soul sound of Ferrari Truck tonight at Arlene...	FERRARI TRUCK	Company	positive	1	0.427968	0.33	Wed Apr 29 17:53:11 +0000 2015	0
CA	Ford CEO refuses to let Apple and Google take the wheel http://t.co/VjYqwC1EmZ	FORD	Company	positive	1	0.49128	0.33	Thu Apr 30 22:24:08 +0000 2015	0
AL	Ford CEO refuses to let Apple and Google take the wheel: Apple’s CarPlay and Google’s Android Auto are ... http://t.co/FVc2U2vKBe #apple	FORD	Company	positive	1	0.390634	0.33	Thu Apr 30 22:24:13 +0000 2015	0
FL	Brand new #Lamborghini parked at Universal, today. #nobigdeal #wow https://t.co/UReDAlMXT0	LAMBORGHINI	Company	neutral	1	0.0	0.258571	Thu Apr 30 22:24:39 +0000 2015	0
IN	RT @JRehling: FOX NEWS: Obama crashes Messenger spacecraft into Mercury. This wouldn't have happened under Bush.	MERCURY	Company	negative	1	-0.493974	0.775416	Thu Apr 30 22:24:40 +0000 2015	0
CA	Kia Motors doubles impact of social media marketing at less than half the cost http://t.co/84XKaLLJEs  via The Drum. #SocialMedia	KIA MOTORS	Company	positive	1	0.298859	0.33	Thu Apr 30 22:24:42 +0000 2015	0
NY	Scalextric Subaru Imprezza #16 BELGACOM C2256 Near MB - Full read by eBay http://t.co/kIVFcZ1NXZ http://t.co/BulRJ8k4DW	SUBARU	Automobile	positive	1	0.23723	0.33	Sat May 02 07:34:40 +0000 2015	0
NY	After months of winter, traveling, and test driving other cars, I'm *finally* taking my Mustang for a wash. @Ford http://t.co/gR9Iuh2X02	FORD	Company	positive	1	0.420373	0.828846	Sat May 02 16:45:56 +0000 2015	0
NY	2pcs White 12" Audi Style 15-SMD LED Sideshine Strip Parking, DRL, Fog Light #44 - Full re… http://t.co/28B0JUS67P http://t.co/RqrZiD4NAo	AUDI	Company	negative	1	-0.212983	0.33	Thu Apr 30 10:17:18 +0000 2015	0
RI	Just Cool Cars: See Rita Hayworths 53 Ghia Cadillac	CADILLAC	Automobile	positive	1	0.384382	0.33	Sat May 02 02:17:54 +0000 2015	0
